"","지번주소","lon","lat","아파트"
"1","충청남도 천안시 와촌동 173",127.144504,36.807438,"신동아파밀리에"
"2","충청남도 천안시 성정동 823",127.133597,36.822074,"선경"
"3","충청남도 천안시 성정동 892",127.132594,36.821036,"건일(892)"
"4","충청남도 천안시 성정동 785",127.13403,36.825454,"주공6-1"
"5","충청남도 천안시 성정동 1292",127.137996,36.828372,"에프엠21"
"6","충청남도 천안시 성정동 1322",127.140927,36.828802,"프라지움3차"
"7","충청남도 천안시 성정동 413-13",127.135923,36.823865,"현대1"
"8","충청남도 천안시 성정동 413-13",127.135923,36.823865,"현대2"
"9","충청남도 천안시 성정동 643",127.141782,36.823128,"대우목화1"
"10","충청남도 천안시 성정동 643",127.141782,36.823128,"대우목화2"
"11","충청남도 천안시 성정동 643",127.141782,36.823128,"대우목화3"
"12","충청남도 천안시 성정동 1475",127.140752,36.827227,"리슈빌디에스"
"13","충청남도 천안시 성정동 696-4",127.140521,36.81717,"성정활림2목련"
"14","충청남도 천안시 성정동 1345",127.141745,36.828722,"프라지움7차"
"15","충청남도 천안시 성정동 717",127.138611,36.81497,"주공5-1"
"16","충청남도 천안시 성정동 717",127.138611,36.81497,"주공5-2"
"17","충청남도 천안시 성정동 1474",127.140775,36.827437,"해피드림2차"
"18","충청남도 천안시 성정동 1270",127.138195,36.829939,"프라지움6차"
"19","충청남도 천안시 성정동 1513",127.138261,36.827654,"서올하우스"
"20","충청남도 천안시 성정동 789",127.134357,36.822905,"주공6-3"
"21","충청남도 천안시 성정동 1323",127.141707,36.829722,"프라지움8차"
"22","충청남도 천안시 성정동 1523",127.137953,36.82783,"학산리젠다빌-2차-A동"
"23","충청남도 천안시 성정동 1347",127.141647,36.828365,"평화로운나날"
"24","충청남도 천안시 백석동 1193",127.124917,36.829771,"백석더샵아파트"
"25","충청남도 천안시 백석동 900",127.120554,36.81945,"호반리젠시빌"
"26","충청남도 천안시 백석동 1007",127.122357,36.832562,"백석리슈빌"
"27","충청남도 천안시 백석동 941",127.124882,36.832632,"백석마을아이파크"
"28","충청남도 천안시 백석동 924",127.114373,36.826068,"백석벽산블루밍2차"
"29","충청남도 천안시 백석동 930",127.115691,36.829005,"브라운스톤"
"30","충청남도 천안시 백석동 1200",127.125801,36.827719,"천안백석3차IPARK"
"31","충청남도 천안시 백석동 890",127.12204,36.822064,"그린빌2"
"32","충청남도 천안시 백석동 1178",127.121391,36.825255,"백석2차아이파크"
"33","충청남도 천안시 백석동 979",127.121689,36.829853,"천안백석푸르지오"
"34","충청남도 천안시 백석동 191-3",127.125725,36.82159,"현대"
"35","충청남도 천안시 백석동 915",127.119479,36.822084,"그린빌1차"
"36","충청남도 천안시 백석동 919",127.114059,36.824929,"백석벽산블루밍1차"
"37","충청남도 천안시 두정동 526-1",127.131998,36.829483,"극동늘푸른"
"38","충청남도 천안시 두정동 1078",127.137054,36.838305,"계룡리슈빌"
"39","충청남도 천안시 두정동 1864",127.132779,36.838111,"우성"
"40","충청남도 천안시 두정동 1320",127.14105,36.833242,"프라지움2"
"41","충청남도 천안시 두정동 1886",127.133354,36.837633,"한성필하우스-1"
"42","충청남도 천안시 두정동 1593",127.142903,36.838234,"두정3푸르지오"
"43","충청남도 천안시 두정동 525-1",127.144597,36.834493,"대우그린"
"44","충청남도 천안시 두정동 527",127.143111,36.836204,"주공그린(8단지)"
"45","충청남도 천안시 두정동 2045",127.151012,36.82982,"두정역이안더센트럴"
"46","충청남도 천안시 두정동 1359",127.138585,36.830522,"벨라지오"
"47","충청남도 천안시 두정동 2055",127.129585,36.837844,"이편한세상-천안두정2차"
"48","충청남도 천안시 두정동 2035",127.147123,36.834308,"한성필하우스3차"
"49","충청남도 천안시 두정동 1373",127.139969,36.831022,"에프엠22"
"50","충청남도 천안시 두정동 1315",127.139247,36.832685,"에프엠20"
"51","충청남도 천안시 두정동 2037",127.15048,36.833834,"두정역푸르지오"
"52","충청남도 천안시 두정동 665",127.130137,36.828133,"서해그랑블"
"53","충청남도 천안시 두정동 1221",127.140939,36.834855,"이편한세상"
"54","충청남도 천안시 두정동 2056",127.151599,36.827527,"두정역코아루스위트"
"55","충청남도 천안시 두정동 1000",127.134844,36.836377,"한성필하우스1차"
"56","충청남도 천안시 두정동 1596",127.146833,36.838192,"우남1차"
"57","충청남도 천안시 두정동 605",127.128367,36.828172,"세광엔리치빌3"
"58","충청남도 천안시 두정동 1080",127.139608,36.8383,"경남아너스빌(대아아이투빌-1)"
"59","충청남도 천안시 두정동 666",127.130202,36.829641,"두정4차푸르지오"
"60","충청남도 천안시 두정동 2063",127.155372,36.831958,"e편한세상두정3차"
"61","충청남도 천안시 두정동 603",127.128677,36.829659,"세광엔리치빌2"
"62","충청남도 천안시 두정동 2010",127.128733,36.834679,"두정5차푸르지오"
"63","충청남도 천안시 두정동 606",127.128333,36.827019,"부경파크빌"
"64","충청남도 천안시 성성동 697",127.133543,36.84045,"천안레이크타운2차푸르지오"
"65","충청남도 천안시 차암동 442",127.103599,36.843807,"e편한세상스마일시티"
"66","충청남도 천안시 차암동 550",127.106729,36.845652,"천안스마일시티효성해링턴플레이스"
"67","충청남도 천안시 차암동 448",127.10166,36.841566,"천안한화꿈에그린스마일시티"
"68","충청남도 천안시 차암동 543",127.107939,36.847478,"e편한세상스마일시티2차"
"69","충청남도 천안시 쌍용동 567",127.124907,36.797339,"시영2차근로복지"
"70","충청남도 천안시 쌍용동 1367",127.116773,36.800195,"월봉청솔1단지"
"71","충청남도 천안시 쌍용동 1289",127.124957,36.801113,"주공7단지3차"
"72","충청남도 천안시 쌍용동 1282",127.124745,36.802723,"주공7단지2차"
"73","충청남도 천안시 쌍용동 1363-1",127.124595,36.792525,"해누리선경"
"74","충청남도 천안시 쌍용동 2100",127.120006,36.809818,"파크밸리동일하이빌"
"75","충청남도 천안시 쌍용동 1561",127.11623,36.793785,"월봉청솔2차"
"76","충청남도 천안시 쌍용동 389-3",127.131835,36.795327,"현대1"
"77","충청남도 천안시 쌍용동 1923",127.117524,36.802406,"용암동아벽산"
"78","충청남도 천안시 쌍용동 2045",127.121896,36.791176,"현대6차1단지"
"79","충청남도 천안시 쌍용동 1914",127.121646,36.806008,"주공9"
"80","충청남도 천안시 쌍용동 1547",127.116832,36.796031,"월봉일성5"
"81","충청남도 천안시 쌍용동 1538",127.116357,36.79842,"월봉벽산"
"82","충청남도 천안시 쌍용동 1538",127.116357,36.79842,"월봉태영"
"83","충청남도 천안시 쌍용동 889",127.131445,36.80636,"대우타워"
"84","충청남도 천안시 쌍용동 1920",127.119278,36.805404,"쌍용마을뜨란채,주공아파트"
"85","충청남도 천안시 쌍용동 566",127.125258,36.798145,"세경개나리"
"86","충청남도 천안시 쌍용동 1273",127.121832,36.795877,"상록수현대"
"87","충청남도 천안시 쌍용동 2041",127.124282,36.791781,"현대6차2단지"
"88","충청남도 천안시 쌍용동 848",127.130612,36.808906,"일성"
"89","충청남도 천안시 쌍용동 1233",127.128196,36.801608,"광명"
"90","충청남도 천안시 쌍용동 652",127.12361,36.79796,"일성3차(능수)"
"91","충청남도 천안시 쌍용동 380-4",127.132508,36.79668,"경동"
"92","충청남도 천안시 쌍용동 788",127.131238,36.809856,"일성2"
"93","충청남도 천안시 쌍용동 653",127.122296,36.799705,"쌍용모란"
"94","충청남도 천안시 쌍용동 2075",127.116207,36.787257,"쌍용자이"
"95","충청남도 천안시 쌍용동 2050",127.118709,36.790979,"쌍용역푸르지오"
"96","충청남도 천안시 쌍용동 565",127.124029,36.799221,"한라동백"
"97","충청남도 천안시 쌍용동 379-33",127.133016,36.797059,"이화"
"98","충청남도 천안시 쌍용동 1279",127.122295,36.803077,"라이프타운"
"99","충청남도 천안시 쌍용동 388-2",127.130389,36.796005,"현대3"
"100","충청남도 천안시 쌍용동 1361",127.123622,36.794014,"계룡푸른마을"
"101","충청남도 천안시 쌍용동 1548",127.115442,36.795606,"월봉대우"
"102","충청남도 천안시 불당동 757",127.109289,36.808538,"불당아이파크"
"103","충청남도 천안시 불당동 1503",127.10292,36.820152,"불당이안"
"104","충청남도 천안시 불당동 820",127.111531,36.805763,"대동다숲"
"105","충청남도 천안시 불당동 1811",127.10351,36.806913,"불당호반베르디움TheFirst"
"106","충청남도 천안시 불당동 750",127.113103,36.808169,"동일하이빌"
"107","충청남도 천안시 불당동 780",127.116909,36.806023,"호반리젠시빌스위트"
"108","충청남도 천안시 불당동 787",127.116072,36.803329,"대원칸타빌"
"109","충청남도 천안시 불당동 1270",127.113605,36.800982,"한화꿈에그린"
"110","충청남도 천안시 불당동 1498",127.106216,36.821444,"천안불당 지웰푸르지오"
"111","충청남도 천안시 불당동 788",127.113585,36.802663,"불당한성필하우스"
"112","충청남도 천안시 불당동 1613",127.10401,36.812151,"천안불당호반써밋플레이스"
"113","충청남도 천안시 불당동 741",127.112316,36.811414,"천안불당우방아이유쉘트윈팰리스"
"114","충청남도 천안시 불당동 1292",127.101052,36.799831,"펜타포트(101동102동)"
"115","충청남도 천안시 성환읍 성월리 150",127.135943,36.918106,"현대한솔"
"116","충청남도 천안시 성환읍 성월리 95-7",127.133853,36.912971,"아포리예미원"
"117","충청남도 천안시 성환읍 매주리 312",127.131354,36.912098,"성환삼풍"
"118","충청남도 천안시 성환읍 매주리 183",127.134426,36.902815,"성환부영"
"119","충청남도 천안시 성환읍 매주리 182-10",127.132489,36.901722,"천안성환e-편한세상"
"120","충청남도 천안시 성환읍 매주리 319-1",127.129065,36.913255,"성환골드"
"121","충청남도 천안시 성환읍 매주리 244-13",127.134496,36.904226,"부영"
"122","충청남도 천안시 성환읍 율금리 773",127.107699,36.899317,"두진그린힐"
"123","충청남도 천안시 성환읍 율금리 447-2",127.107699,36.899317,"이화"
"124","충청남도 천안시 성환읍 율금리 507-4",127.107699,36.899317,"대영한아름"
"125","충청남도 천안시 성환읍 수향리 214-9",127.151603,36.943852,"근로자복지"
"126","충청남도 천안시 성환읍 수향리 466-5",127.13169,36.955759,"한미래"
"127","충청남도 천안시 성거읍 천흥리 429",127.202113,36.872421,"장미근로복지"
"128","충청남도 천안시 성거읍 오목리 58",127.20696,36.888674,"금정샛별"
"129","충청남도 천안시 성거읍 저리 26-7",127.200366,36.881743,"아느칸빌"
"130","충청남도 천안시 성거읍 저리 53-2",127.200366,36.881743,"삼일원앙"
"131","충청남도 천안시 성거읍 저리 1-3",127.202689,36.881844,"청호포도마을"
"132","충청남도 천안시 성거읍 문덕리 231-6",127.181045,36.876073,"하늘빛"
"133","충청남도 천안시 성거읍 요방리 160-22",127.181869,36.851727,"육영원룸"
"134","충청남도 천안시 성거읍 요방리 268-1",127.176472,36.850973,"늘푸른동해"
"135","충청남도 천안시 성거읍 신월리 2-26",127.157737,36.877138,"천안삼환나우빌"
"136","충청남도 천안시 성거읍 신월리 3-3",127.158285,36.878739,"성거벽산"
"137","충청남도 천안시 직산읍 군서리 428-3",127.143578,36.89519,"청호"
"138","충청남도 천안시 직산읍 수헐리 16-1",127.139122,36.894008,"직산부영"
"139","충청남도 천안시 직산읍 삼은리 72-19",127.152191,36.880122,"청림"
"140","충청남도 천안시 직산읍 삼은리 70",127.154498,36.87974,"직산한도"
"141","충청남도 천안시 직산읍 삼은리 72-4",127.152241,36.879699,"일진"
"142","충청남도 천안시 직산읍 삼은리 74-3",127.150263,36.879976,"직산세광엔리치빌1차2단지"
"143","충청남도 천안시 직산읍 상덕리 107",127.124322,36.894872,"직산산호"
"144","충청남도 천안시 직산읍 부송리 152-16",127.128884,36.877338,"청솔"
"145","충청남도 천안시 직산읍 모시리 206-13",127.127142,36.869774,"우성8차"
"146","충청남도 천안시 직산읍 모시리 253-38",127.119255,36.869685,"동보호수마을"
"147","충청남도 천안시 입장면 기로리 86-1",127.250013,36.909762,"주성레이크빌"
"148","충청남도 천안시 입장면 도림리 341-1",127.245078,36.915227,"한성"
"149","충청남도 천안시 입장면 신덕리 200-21",127.209594,36.912264,"연합"
"150","충청남도 천안시 입장면 신두리 393-17",127.199976,36.912913,"거봉"
"151","충청남도 천안시 성정동 659-1",127.141814,36.82162,"화승"
"152","충청남도 천안시 성정동 1317",127.140774,36.829691,"프라지움5차"
"153","충청남도 천안시 성정동 1438",127.141328,36.826168,"학산리젠다빌3차"
"154","충청남도 천안시 성정동 690-2",127.143595,36.819453,"삼풍빌라"
"155","충청남도 천안시 백석동 658-69",127.113097,36.824327,"백석동펜타폴리스5차"
"156","충청남도 천안시 두정동 1377",127.140197,36.830604,"프라지움9차"
"157","충청남도 천안시 두정동 1481",127.144197,36.832341,"아델리아"
"158","충청남도 천안시 두정동 1466",127.142079,36.832769,"두정역펜타폴리스"
"159","충청남도 천안시 두정동 1896",127.130128,36.836502,"대주파크빌(101동)"
"160","충청남도 천안시 두정동 530",127.14307,36.834775,"대우2차"
"161","충청남도 천안시 성성동 696",127.132772,36.842669,"천안레이크타운푸르지오"
"162","충청남도 천안시 쌍용동 861",127.129073,36.808436,"시영1차근로복지"
"163","충청남도 천안시 쌍용동 380-3",127.131824,36.796205,"극동"
"164","충청남도 천안시 쌍용동 2077",127.114323,36.78607,"쌍용동일하이빌"
"165","충청남도 천안시 쌍용동 2040",127.127039,36.793675,"범양마더빌"
"166","충청남도 천안시 쌍용동 1552",127.113961,36.795862,"월봉현대"
"167","충청남도 천안시 불당동 1546",127.101326,36.814817,"천안불당린스트라우스2단지"
"168","충청남도 천안시 불당동 1846",127.10468,36.803319,"불당호반써밋플레이스센터시티"
"169","충청남도 천안시 불당동 1497",127.103434,36.822002,"불당리더힐스"
"170","충청남도 천안시 불당동 1289",127.101376,36.798288,"펜타포트(103동)"
"171","충청남도 천안시 불당동 737",127.111101,36.810546,"메가트로피"
"172","충청남도 천안시 불당동 1426",127.109112,36.800882,"불당풍림아이원아파트"
"173","충청남도 천안시 신당동 284-1",127.159375,36.853391,"신당코아루"
"174","충청남도 천안시 신당동 377-10",127.157911,36.852548,"조승"
"175","충청남도 천안시 성환읍 성월리 147-1",127.137604,36.917594,"미산라이프아파트"
"176","충청남도 천안시 성환읍 매주리 311-9",127.131109,36.911232,"중앙"
"177","충청남도 천안시 성거읍 천흥리 425-1",127.20254,36.873487,"성거백승"
"178","충청남도 천안시 성거읍 저리 252",127.200366,36.881743,"저리보금자리"
"179","충청남도 천안시 직산읍 군서리 428-5",127.143621,36.896231,"청호7차"
"180","충청남도 천안시 직산읍 삼은리 72-41",127.152266,36.879144,"직산세광엔리치빌1차1단지"
"181","충청남도 천안시 직산읍 삼은리 69-14",127.155945,36.87986,"정석"
"182","충청남도 천안시 입장면 하장리 84",127.220176,36.911868,"연합초원"
"183","충청남도 천안시 불당동 1548",127.10484,36.814886,"천안불당지웰더샵"
"184","충청남도 천안시 불당동 1544",127.106548,36.814544,"천안 불당 지웰시티푸르지오 1단지"
"185","충청남도 천안시 성환읍 매주리 244-5",127.134664,36.905248,"부영사랑으로"
"186","충청남도 천안시 성환읍 매주리 324-1",127.12982,36.911836,"건주참조은"
"187","충청남도 천안시 직산읍 군동리 39",127.166868,36.895825,"희홍밸러-뷰"
"188","충청남도 천안시 직산읍 삼은리 59-7",127.159451,36.880361,"청호6차"
"189","충청남도 천안시 직산읍 모시리 242-5",127.120848,36.861225,"대림"
"190","충청남도 천안시 성정동 719-1",127.136592,36.815106,"장군(맨션)"
"191","충청남도 천안시 두정동 1449",127.143737,36.831796,"센텀타워"
"192","충청남도 천안시 두정동 1607",127.146966,36.837255,"우남2차"
"193","충청남도 천안시 불당동 1614",127.105719,36.811818,"천안 불당 지웰시티푸르지오 2단지"
"194","충청남도 천안시 성환읍 성월리 103-7",127.133353,36.914169,"지성보금자리"
"195","충청남도 천안시 성거읍 천흥리 533-5",127.205519,36.877825,"진성"
"196","충청남도 천안시 직산읍 삼은리 395",127.152989,36.878199,"직산코아루"
"197","충청남도 천안시 직산읍 부송리 60-3",127.139196,36.876057,"청호4차"
"198","충청남도 천안시 쌍용동 657",127.122,36.797613,"일성다래"
"199","충청남도 천안시 쌍용동 2134",127.119786,36.792007,"천안쌍용역코오롱하늘채"
"200","충청남도 천안시 불당동 1494",127.107942,36.819115,"불당파크푸르지오2단지"
"201","충청남도 천안시 불당동 1545",127.101699,36.81625,"천안불당린스트라우스1단지"
"202","충청남도 천안시 직산읍 상덕리 429",127.125357,36.891098,"한아름"
"203","충청남도 천안시 성정동 1522",127.137923,36.827583,"학산리젠다빌-2차-B동"
"204","충청남도 천안시 성정동 1335",127.141658,36.829419,"하이스타운3차"
"205","충청남도 천안시 두정동 1464",127.142135,36.831698,"아크로텔천안두정"
"206","충청남도 천안시 신당동 705",127.15033,36.854935,"e편한세상천안부성"
"207","충청남도 천안시 성환읍 성월리 26-2",127.141356,36.918095,"태양"
"208","충청남도 천안시 성환읍 매주리 314-1",127.132912,36.912305,"미성"
"209","충청남도 천안시 성환읍 송덕리 55-12",127.118163,36.923384,"영흥"
"210","충청남도 천안시 성거읍 저리 319-31",127.200366,36.881743,"스윗트리"
"211","충청남도 천안시 성정동 658-1",127.141943,36.822018,"대우성정프라자"
"212","충청남도 천안시 두정동 1293",127.140551,36.833342,"천안펜타폴리스2차"
"213","충청남도 천안시 쌍용동 1241",127.128139,36.79991,"쌍용두산위브"
"214","충청남도 천안시 성정동 141-3",127.143447,36.81663,"활림1차"
"215","충청남도 천안시 성정동 1433",127.142394,36.825918,"프라지움10차아파트"
"216","충청남도 천안시 불당동 1492",127.108514,36.821001,"불당파크푸르지오1단지"
"217","충청남도 천안시 성거읍 송남리 14",127.200253,36.872442,"송죽"
"218","충청남도 천안시 쌍용동 2047",127.126555,36.793285,"범양마더빌2차"
"219","충청남도 천안시 두정동 1486",127.143225,36.832631,"두정미소마을"
"220","충청남도 천안시 성성동 827",127.122212,36.842438,"천안시티자이"
