고등학교,주소,Latitude,Longitude
북일여자고등학교,충청남도 천안시 동남구 단대로 71,36.8307729,127.1581914
북일고등학교,충청남도 천안시 동남구 단대로 69,36.8307729,127.1581914
천안여자상업고등학교,충청남도 천안시 동남구 천안여상로 44,36.8036317,127.1344429
복자여자고등학교,충청남도 천안시 동남구 복자1길 1,36.8153273,127.1512323
천안상업고등학교,충청남도 천안시 서북구 천일고1길 43-9,36.8590857,127.1572918
천안고등학교,충청남도 천안시 동남구 봉명로 53,36.8083608,127.1344732
천안청수고등학교,충청남도 천안시 동남구 청수로 82-46,36.7911749,127.159284
천안업성고등학교,충청남도 천안시 서북구 업성3길 65-11,36.8617754,127.1374282
천안오성고등학교,충청남도 천안시 서북구 과수원길 27,36.8414573,127.1420671
천안신당고등학교,충청남도 천안시 서북구 신당새터2길 36,36.851411,127.159256
천안쌍용고등학교,충청남도 천안시 서북구 월봉7길 10,36.7881172,127.1137414
천안월봉고등학교,충청남도 천안시 서북구 불당11로 51,36.8043632,127.1118748
천안두정고등학교,충청남도 천안시 서북구 두정고2길 13,36.8352995,127.1304977
충남예술고등학교,충청남도 천안시 서북구 성거읍 천흥2길 42,36.8687388,127.204417
목천고등학교,충청남도 천안시 동남구 목천읍 삼방로 145,36.7820295,127.2326959
성환고등학교,충청남도 천안시 서북구 성환읍 신방로 354,36.9239078,127.1160266
병천고등학교,충청남도 천안시 동남구 병천면 충절로 1872,36.763771,127.3129795
천안여자고등학교,충청남도 천안시 동남구 삼룡3길 30,36.7783826,127.1690761
천안중앙고등학교,충청남도 천안시 동남구 충절로 91,36.8105477,127.1592732
천안공업고등학교,충청남도 천안시 동남구 성황5길 17,36.8155262,127.15607
천안제일고등학교,충청남도 천안시 동남구 버들로 71,36.8078607,127.1544971