초등학교,Latitude,Longitude
천안희망초등학교,36.82599,127.1547431
천안호수초등학교,36.7975239,127.1011069
천안한들초등학교,36.8273012,127.1206178
천안아름초등학교,36.8127484,127.1016073
천안성성초등학교,36.8407003,127.13593
천안불무초등학교,36.8191026,127.1063461
양대초등학교,36.9150513,127.2263608
입장초등학교,36.9132485,127.2199526
소망초등학교,36.8759776,127.1623361
성거초등학교,36.8717311,127.1997313
양당초등학교,36.8787117,127.1141134
삼은초등학교,36.8775542,127.1480832
직산초등학교,36.9034893,127.1620231
도하초등학교,36.948416,127.1669127
신방초등학교,36.9292767,127.0876369
신가초등학교,36.9506259,127.1149131
대흥초등학교,36.9492983,127.1474173
성신초등학교,36.9186958,127.1286531
성환초등학교,36.9183101,127.1323442
천동초등학교,36.778132,127.3479231
병천초등학교,36.7657277,127.3007119
수신초등학교,36.7329466,127.2831738
신사초등학교,36.7425577,127.2378
성남초등학교,36.7271709,127.250976
은석초등학교,36.7882047,127.2574309
위례초등학교,36.8245766,127.2741808
신흥초등학교,36.773463,127.2163542
천안부영초등학교,36.7594803,127.1752716
도장초등학교,36.7472847,127.1804738
신계초등학교,36.7685477,127.2023163
목천초등학교,36.7875851,127.2355669
보산원초등학교,36.6855597,127.0758749
행정초등학교,36.6866191,127.1565718
광덕초등학교,36.6985056,127.1100137
미죽초등학교,36.737661,127.1514097
용정초등학교,36.7449514,127.1015496
풍세초등학교,36.7258394,127.1179455
천안차암초등학교,36.8427707,127.1060491
천안가온초등학교,36.7852839,127.1489093
천안새샘초등학교,36.7706363,127.1308881
천안청당초등학교,36.7798732,127.1515418
천안쌍정초등학교,36.787145,127.1150691
천안삼거리초등학교,36.7894814,127.1634923
천안청룡초등학교,36.7808843,127.1396138
천안용소초등학교,36.7895579,127.1356962
천안와촌초등학교,36.8060456,127.1446253
천안신대초등학교,36.8371932,127.1427943
천안서당초등학교,36.8038518,127.1139757
천안불당초등학교,36.8060738,127.1089567
천안수곡초등학교,36.7903367,127.1229122
천안두정초등학교,36.8363253,127.1469936
천안오성초등학교,36.8313856,127.1300568
천안백석초등학교,36.8199865,127.1222848
천안용곡초등학교,36.7868174,127.1319804
천안신촌초등학교,36.7871499,127.123294
천안부성초등학교,36.8353626,127.1366442
천안월봉초등학교,36.7970744,127.1155743
천안용암초등학교,36.8039485,127.1181411
천안신용초등학교,36.7905746,127.1318831
천안신부초등학교,36.822615,127.1602496
천안쌍용초등학교,36.8013433,127.1228966
천안미라초등학교,36.8005798,127.1281395
천안봉서초등학교,36.8128161,127.1312754
천안서초등학교,36.8232502,127.139503
천안구성초등학교,36.793111,127.1585085
천안봉명초등학교,36.8051997,127.134996
안서초등학교,36.832327,127.1756775
천안신안초등학교,36.8147841,127.1622718
천안청수초등학교,36.7891728,127.150796
천안업성초등학교,36.8616219,127.1414415
천안부대초등학교,36.8516273,127.1503029
환서초등학교,36.8285758,127.1223336
천안일봉초등학교,36.7997938,127.1386171
천안성정초등학교,36.8153334,127.1406573
천안남산초등학교,36.8048883,127.1539755
천안중앙초등학교,36.8052996,127.1487252
천안초등학교,36.8136624,127.1516251